planning_area,year,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others,total_hdb,total
Straits View,2015,0,0,0,0,0,0,0,0,0
Ang Mo Kio,2020,10720,55910,43030,21370,13980,15880,1390,131020,162280
Bedok,2020,9630,54710,66310,44970,54850,43870,2650,175620,276990
Bishan,2020,1140,4920,28160,25130,16880,10390,700,59350,87320
Boon Lay,2020,0,0,0,0,0,0,0,0,40
Bukit Batok,2020,6050,28300,56090,34310,26500,5760,1030,124750,158030
Bukit Merah,2020,21550,35250,48210,30040,14160,460,1600,135050,151250
Choa Chu Kang,2020,4900,6980,79580,74260,23370,2410,570,165710,192070
Bukit Panjang,2020,2400,9840,55310,48290,19050,3190,190,115840,138270
Jurong East,2020,2200,17510,25440,25790,6910,0,750,70940,78600
Queenstown,2020,7670,29740,27570,14060,11910,3540,1460,79040,95930
Jurong West,2020,8220,32530,99630,99920,17390,4270,780,240300,262730
Bukit Timah,2020,190,900,2510,3430,37100,32790,940,7030,77860
Central Water Catchment,2020,0,0,0,0,0,0,0,0,0
Changi,2020,0,360,0,10,10,340,1140,360,1850
Changi Bay,2020,0,0,0,0,0,0,0,0,0
Tengah,2020,0,0,0,0,0,0,0,0,10
Clementi,2020,2490,25880,26430,12610,17640,5730,1210,67410,91990
Geylang,2020,8470,27320,31210,15130,19640,6370,1970,82130,110110
Hougang,2020,6000,26430,85640,53020,29940,22250,4280,171090,227560
Pioneer,2020,0,0,0,0,0,0,0,0,80
Punggol,2020,9290,14540,70500,57240,22330,310,250,151570,174450
Seletar,2020,0,0,0,0,0,280,20,0,300
Sembawang,2020,6840,4490,36860,38890,10860,3880,820,87080,102640
Sengkang,2020,8150,11090,99800,96230,31780,1530,790,215280,249370
Serangoon,2020,1520,9850,31510,21010,16310,35760,930,63890,116900
Simpang,2020,0,0,0,0,0,0,0,0,0
Southern Islands,2020,0,0,0,0,1280,640,20,0,1940
Sungei Kadut,2020,0,0,0,0,0,670,80,0,750
Tampines,2020,7040,34340,99780,85220,27770,4480,1270,226370,259900
Tanglin,2020,0,30,190,250,16790,4350,190,470,21810
Toa Payoh,2020,9600,34990,32040,23600,14580,5660,1370,100230,121850
Tuas,2020,0,0,0,0,0,0,0,0,70
Western Islands,2020,0,0,0,0,0,0,0,0,10
Western Water Catchment,2020,0,0,0,0,0,0,640,0,640
Woodlands,2020,10710,19690,103960,101610,17400,700,1060,235970,255130
Yishun,2020,8910,40200,99740,46450,19670,5710,940,195300,221610
Downtown Core,2020,0,0,610,0,2290,0,290,610,3190
Marina East,2020,0,0,0,0,0,0,0,0,0
Marina South,2020,0,0,0,0,0,0,0,0,0
Museum,2020,0,0,0,0,490,0,20,0,510
Newton,2020,0,0,0,0,7440,580,240,0,8260
Orchard,2020,0,0,0,0,830,0,90,0,920
Outram,2020,5290,4920,4760,2050,840,10,470,17020,18340
Kallang,2020,11370,25430,27890,14490,19090,1380,1640,79180,101290
Lim Chu Kang,2020,0,0,0,0,0,0,110,0,110
Mandai,2020,0,0,0,0,1300,730,60,0,2090
Marine Parade,2020,3270,6140,4730,5330,17070,9250,430,19470,46220
North-Eastern Islands,2020,0,0,0,0,0,0,0,0,50
Novena,2020,1630,7660,7940,4540,19010,7760,790,21780,49330
Pasir Ris,2020,1420,890,38800,61510,36780,7110,610,102620,147110
Paya Lebar,2020,0,0,0,0,0,0,0,0,40
River Valley,2020,0,0,0,0,9290,700,80,0,10070
Rochor,2020,710,4380,4130,740,2300,140,710,9960,13120
Singapore River,2020,0,0,0,0,3110,0,150,0,3260
Straits View,2020,0,0,0,0,0,0,0,0,0
