planning_area,pre_primary,primary,secondary,post_secondary,polytechnic,prof_qualification_diploma,university,year
Sungei Kadut,0,0,0,0,0,0,0,2020
Tampines,3312,13812,10165,3658,4835,584,6906,2020
Tanglin,354,1713,1038,298,86,53,626,2020
Toa Payoh,1585,6337,4795,1476,1892,299,2669,2020
Tuas,0,0,0,0,0,0,0,2020
Western Islands,0,0,0,0,0,0,0,2020
Western Water Catchment,0,0,0,0,0,0,0,2020
Woodlands,3201,15395,12621,4312,6934,1067,6388,2020
Yishun,3579,13373,9396,3328,3727,707,4268,2020
Downtown Core,29,61,59,25,18,0,60,2020
Marina East,0,0,0,0,0,0,0,2020
Marina South,0,0,0,0,0,0,0,2020
Museum,0,0,0,0,0,0,0,2020
Newton,0,0,0,0,0,0,0,2020
Orchard,0,0,0,0,0,0,0,2020
Outram,219,944,492,173,117,52,286,2020
Kallang,1161,4700,3806,1054,1347,147,1993,2020
Lim Chu Kang,0,0,0,0,0,0,0,2020
Mandai,0,0,0,0,0,0,0,2020
Marine Parade,625,3048,2087,652,458,101,1313,2020
North-Eastern Islands,0,0,0,0,0,0,0,2020
Novena,711,3489,1995,627,538,93,1109,2020
Pasir Ris,1661,8529,6784,2273,3618,566,5838,2020
Paya Lebar,0,0,0,0,0,0,0,2020
River Valley,193,767,468,168,62,12,317,2020
Rochor,0,0,0,0,0,0,0,2020
Singapore River,0,0,0,0,0,0,0,2020
Straits View,0,0,0,0,0,0,0,2020
